# Total Data Received Average Delay
# simtime, appTotalDataReceivedAvgDelay
23200.000000, 577.304469
23300.000000, 576.655385
23400.000000, 574.828996
23500.000000, 570.847670
23600.000000, 570.314721
23700.000000, 570.092984
23800.000000, 570.212257
23900.000000, 570.415968
24000.000000, 574.729534
24100.000000, 580.879833
24200.000000, 614.633257
24300.000000, 633.951791
24400.000000, 640.282252
24500.000000, 640.359291
24600.000000, 641.813481
24700.000000, 642.218007
24800.000000, 642.218007
24900.000000, 645.666673
25000.000000, 659.465078
25100.000000, 659.640770
25200.000000, 661.019343
25300.000000, 660.724964
25400.000000, 660.724964
25500.000000, 660.724964
25600.000000, 660.217746
25700.000000, 658.817908
25800.000000, 657.907205
25900.000000, 651.232504
26000.000000, 649.292714
26100.000000, 648.949683
26200.000000, 643.805653
26300.000000, 644.545373
26400.000000, 649.917555
