# Average Neighbourhood Size
# simtime, linkAvgNeighbourSize
14400.000000, 4.253650
14500.000000, 4.252636
14600.000000, 4.251633
14700.000000, 4.250643
14800.000000, 4.249667
14900.000000, 4.248703
15000.000000, 4.247753
15100.000000, 4.246815
15200.000000, 4.245890
15300.000000, 4.244977
15400.000000, 4.243814
15500.000000, 4.242503
15600.000000, 4.241208
15700.000000, 4.239930
15800.000000, 4.238668
15900.000000, 4.237422
16000.000000, 4.236199
16100.000000, 4.234984
16200.000000, 4.233784
16300.000000, 4.232599
16400.000000, 4.231428
16500.000000, 4.230271
16600.000000, 4.229128
16700.000000, 4.228003
16800.000000, 4.226897
16900.000000, 4.225467
17000.000000, 4.223994
17100.000000, 4.222538
17200.000000, 4.221099
17300.000000, 4.219676
17400.000000, 4.218270
17500.000000, 4.216877
17600.000000, 4.215509
17700.000000, 4.214157
17800.000000, 4.212819
17900.000000, 4.211497
18000.000000, 4.210189
18100.000000, 4.208894
18200.000000, 4.207612
18300.000000, 4.206344
18400.000000, 4.205090
18500.000000, 4.203848
18600.000000, 4.202612
18700.000000, 4.201380
18800.000000, 4.200162
18900.000000, 4.198951
19000.000000, 4.197746
19100.000000, 4.196553
19200.000000, 4.195374
19300.000000, 4.194206
19400.000000, 4.193050
19500.000000, 4.191906
19600.000000, 4.190776
19700.000000, 4.189658
19800.000000, 4.188552
19900.000000, 4.187457
20000.000000, 4.186372
20100.000000, 4.185298
20200.000000, 4.184235
20300.000000, 4.183183
20400.000000, 4.182140
20500.000000, 4.181108
20600.000000, 4.180085
20700.000000, 4.179068
20800.000000, 4.178060
20900.000000, 4.177062
21000.000000, 4.176073
21100.000000, 4.175094
21200.000000, 4.174124
21300.000000, 4.173163
21400.000000, 4.172211
21500.000000, 4.171268
21600.000000, 4.170334
21700.000000, 4.169408
21800.000000, 4.168491
21900.000000, 4.167582
22000.000000, 4.166681
22100.000000, 4.165789
22200.000000, 4.164904
22300.000000, 4.164028
22400.000000, 4.163161
22500.000000, 4.162305
22600.000000, 4.161457
22700.000000, 4.160616
22800.000000, 4.159782
22900.000000, 4.158957
23000.000000, 4.158138
23100.000000, 4.157326
23200.000000, 4.156521
23300.000000, 4.155720
23400.000000, 4.154921
23500.000000, 4.154130
23600.000000, 4.153345
23700.000000, 4.152566
23800.000000, 4.151792
23900.000000, 4.151025
24000.000000, 4.150263
24100.000000, 4.149508
