# Total Bytes Sent
# simtime, fwdTotalBytesSent
53800.000000, 73506950041
53900.000000, 73538495506
54000.000000, 73570516601
54100.000000, 73601094517
54200.000000, 73624396590
54300.000000, 73660313521
54400.000000, 73687846207
54500.000000, 73715974032
54600.000000, 73741092658
54700.000000, 73771370090
54800.000000, 73792916201
54900.000000, 73835085563
55000.000000, 73874289045
55100.000000, 73914095462
55200.000000, 73981531435
55300.000000, 74023957306
55400.000000, 74048479606
55500.000000, 74071933705
55600.000000, 74109356979
55700.000000, 74128803898
55800.000000, 74173412448
55900.000000, 74212386831
56000.000000, 74249519861
56100.000000, 74302786893
56200.000000, 74343678514
56300.000000, 74382697434
56400.000000, 74418555891
56500.000000, 74478234035
56600.000000, 74527498167
56700.000000, 74584811321
56800.000000, 74620604432
56900.000000, 74647041762
57000.000000, 74707113255
57100.000000, 74773170183
57200.000000, 74840292192
57300.000000, 74922513976
57400.000000, 74998514460
57500.000000, 75101864514
57600.000000, 75173534250
57700.000000, 75238539510
57800.000000, 75284061445
57900.000000, 75332810118
58000.000000, 75380017963
58100.000000, 75484415281
58200.000000, 75574575382
58300.000000, 75640089187
58400.000000, 75682421906
58500.000000, 75742171794
58600.000000, 75768851568
58700.000000, 75815279366
58800.000000, 75838960506
58900.000000, 75912509183
59000.000000, 75975219605
59100.000000, 76122800105
59200.000000, 76207108803
59300.000000, 76569260850
59400.000000, 76794916770
59500.000000, 76856710377
59600.000000, 76931952948
59700.000000, 76984027242
59800.000000, 77020570401
59900.000000, 77059765702
60000.000000, 77095634136
60100.000000, 77162245193
60200.000000, 77209580563
60300.000000, 77270634464
60400.000000, 77317791269
60500.000000, 77383507662
60600.000000, 77447777093
60700.000000, 77506274241
60800.000000, 77535108493
60900.000000, 77604115724
61000.000000, 77635939789
61100.000000, 77683247159
61200.000000, 77740525475
61300.000000, 77789128411
61400.000000, 77824906734
61500.000000, 77856210340
61600.000000, 77906952089
61700.000000, 77954786918
61800.000000, 77990661006
61900.000000, 78029762169
62000.000000, 78072263174
62100.000000, 78115714240
62200.000000, 78160231389
62300.000000, 78205911613
62400.000000, 78252402549
62500.000000, 78299871315
62600.000000, 78341133687
62700.000000, 78377011805
62800.000000, 78421481003
62900.000000, 78452581825
63000.000000, 78496347200
63100.000000, 78542502086
63200.000000, 78598142327
63300.000000, 78634761370
63400.000000, 78697210348
63500.000000, 78755762417
63600.000000, 78796639532
63700.000000, 78843571818
63800.000000, 78898998111
63900.000000, 78962882137
64000.000000, 79007977281
64100.000000, 79061099789
64200.000000, 79139648846
64300.000000, 79203403817
64400.000000, 79269078893
64500.000000, 79326153691
64600.000000, 79388281672
64700.000000, 79440766899
64800.000000, 79501043248
64900.000000, 79555468044
65000.000000, 79622834321
65100.000000, 79685834473
65200.000000, 79752598116
65300.000000, 79819094188
65400.000000, 79878732486
65500.000000, 79948280922
65600.000000, 80027160332
65700.000000, 80093740186
65800.000000, 80176399146
65900.000000, 80239720684
66000.000000, 80305990033
66100.000000, 80364881821
66200.000000, 80431228230
66300.000000, 80487011391
66400.000000, 80539078981
66500.000000, 80593766680
66600.000000, 80626596080
66700.000000, 80674845097
66800.000000, 80717788412
66900.000000, 80754912394
67000.000000, 80797981215
67100.000000, 80847758962
67200.000000, 80902278552
67300.000000, 80967536739
67400.000000, 81012367629
67500.000000, 81069378620
67600.000000, 81120084434
67700.000000, 81175435271
67800.000000, 81243243460
67900.000000, 81299409281
68000.000000, 81358932468
68100.000000, 81409281600
68200.000000, 81459886746
68300.000000, 81514973843
68400.000000, 81553754722
68500.000000, 81584654631
68600.000000, 81626425069
68700.000000, 81673394341
68800.000000, 81704587934
68900.000000, 81778361975
69000.000000, 81830251719
69100.000000, 81886384370
69200.000000, 81947329702
69300.000000, 82036168998
69400.000000, 82111260359
69500.000000, 82205019518
69600.000000, 82301495403
69700.000000, 82408238255
69800.000000, 82517954828
69900.000000, 82626220229
70000.000000, 82694788136
70100.000000, 82751913732
70200.000000, 82823460045
70300.000000, 82886285891
70400.000000, 82940655051
70500.000000, 82996143408
70600.000000, 83079481276
70700.000000, 83149526705
70800.000000, 83237230037
70900.000000, 83296271034
71000.000000, 83380484071
71100.000000, 83452358589
71200.000000, 83520855200
71300.000000, 83625885605
71400.000000, 83724679736
71500.000000, 83927962179
71600.000000, 84096032849
71700.000000, 84192899726
71800.000000, 84284970272
71900.000000, 84336817859
72000.000000, 84384127840
72100.000000, 84449053249
72200.000000, 84535749974
72300.000000, 84670702315
72400.000000, 84773094892
72500.000000, 84969612062
72600.000000, 85174994721
72700.000000, 85344342472
72800.000000, 85525629585
72900.000000, 85689274945
73000.000000, 85866586292
73100.000000, 86033013662
73200.000000, 86168612386
73300.000000, 86307793957
73400.000000, 86436329137
73500.000000, 86555504846
73600.000000, 86728134561
73700.000000, 86941890725
73800.000000, 87314966968
73900.000000, 87509291333
74000.000000, 87719602625
74100.000000, 87939964801
74200.000000, 88199093785
74300.000000, 88498655582
74400.000000, 88749202772
74500.000000, 89037000615
74600.000000, 89296890550
74700.000000, 89503665093
74800.000000, 89775965092
74900.000000, 90006298961
75000.000000, 90620694345
75100.000000, 91179366676
75200.000000, 91840185634
75300.000000, 92218859550
75400.000000, 92476001904
75500.000000, 92685713654
75600.000000, 92965121630
75700.000000, 93230004039
75800.000000, 93479738292
75900.000000, 93736195395
76000.000000, 94085565943
76100.000000, 94521650976
76200.000000, 94925966721
76300.000000, 95268050873
76400.000000, 95594403254
76500.000000, 96159380467
76600.000000, 97009744406
76700.000000, 97916505421
76800.000000, 98531173335
76900.000000, 99303689381
77000.000000, 99761255301
77100.000000, 100133000762
77200.000000, 100383365857
77300.000000, 101017746788
77400.000000, 101711357422
77500.000000, 102397941174
77600.000000, 102914441435
77700.000000, 103762133600
77800.000000, 104489766300
77900.000000, 105394887506
78000.000000, 106588630807
78100.000000, 108007531365
78200.000000, 109562199111
78300.000000, 111124057787
78400.000000, 112041761257
78500.000000, 113129200297
78600.000000, 114314830778
78700.000000, 115472977973
78800.000000, 116587512864
78900.000000, 118176558308
79000.000000, 120118085571
79100.000000, 121916396138
79200.000000, 124302741960
79300.000000, 127195367052
79400.000000, 130069835533
79500.000000, 132982169615
79600.000000, 135480602239
79700.000000, 138792232911
79800.000000, 142035001291
79900.000000, 144793250997
80000.000000, 147260152110
80100.000000, 149981435269
80200.000000, 152509158339
80300.000000, 154402907122
80400.000000, 156741101305
80500.000000, 159231590879
80600.000000, 161730111820
80700.000000, 163673137185
80800.000000, 165773980850
80900.000000, 167088840496
81000.000000, 169194683129
81100.000000, 171024912488
81200.000000, 172673107379
81300.000000, 174232725004
81400.000000, 175799909105
81500.000000, 177660954628
81600.000000, 179879821789
81700.000000, 182330691651
81800.000000, 184234236350
81900.000000, 186007071689
82000.000000, 187365595643
82100.000000, 188653483442
82200.000000, 189652327737
82300.000000, 190572173991
82400.000000, 191214785718
82500.000000, 192073647005
82600.000000, 192575229099
82700.000000, 193238813133
82800.000000, 194320496431
82900.000000, 195263340505
83000.000000, 196387746095
83100.000000, 197393966114
