# Total Contact Count
# simtime, linkContactCount
13300.000000, 110
13400.000000, 112
13500.000000, 114
13600.000000, 116
13700.000000, 116
13800.000000, 116
13900.000000, 119
14000.000000, 119
14100.000000, 119
14200.000000, 119
14300.000000, 119
14400.000000, 119
14500.000000, 119
14600.000000, 121
14700.000000, 121
14800.000000, 121
14900.000000, 121
15000.000000, 123
15100.000000, 123
15200.000000, 127
15300.000000, 129
15400.000000, 134
15500.000000, 134
15600.000000, 136
15700.000000, 136
15800.000000, 136
15900.000000, 136
16000.000000, 136
16100.000000, 139
16200.000000, 139
16300.000000, 139
16400.000000, 139
16500.000000, 139
16600.000000, 139
16700.000000, 141
16800.000000, 143
16900.000000, 145
17000.000000, 147
17100.000000, 151
17200.000000, 151
17300.000000, 151
17400.000000, 151
17500.000000, 153
17600.000000, 153
17700.000000, 153
17800.000000, 153
17900.000000, 153
18000.000000, 155
18100.000000, 157
18200.000000, 157
18300.000000, 157
18400.000000, 159
18500.000000, 161
18600.000000, 163
18700.000000, 163
18800.000000, 165
18900.000000, 168
19000.000000, 170
19100.000000, 170
19200.000000, 170
19300.000000, 170
19400.000000, 170
19500.000000, 170
19600.000000, 170
19700.000000, 170
19800.000000, 174
19900.000000, 176
20000.000000, 176
20100.000000, 176
20200.000000, 176
20300.000000, 176
20400.000000, 176
20500.000000, 176
20600.000000, 180
20700.000000, 180
20800.000000, 180
20900.000000, 180
21000.000000, 180
21100.000000, 180
21200.000000, 180
21300.000000, 180
21400.000000, 180
21500.000000, 180
21600.000000, 180
21700.000000, 180
21800.000000, 180
21900.000000, 180
22000.000000, 180
22100.000000, 180
22200.000000, 180
22300.000000, 180
22400.000000, 180
22500.000000, 180
22600.000000, 182
22700.000000, 182
22800.000000, 184
22900.000000, 184
23000.000000, 188
23100.000000, 188
23200.000000, 188
23300.000000, 191
23400.000000, 191
23500.000000, 191
23600.000000, 191
23700.000000, 193
23800.000000, 195
23900.000000, 195
24000.000000, 195
24100.000000, 195
24200.000000, 195
24300.000000, 195
24400.000000, 195
24500.000000, 197
24600.000000, 197
24700.000000, 197
24800.000000, 197
24900.000000, 197
25000.000000, 197
25100.000000, 197
25200.000000, 197
25300.000000, 197
25400.000000, 197
25500.000000, 199
25600.000000, 199
25700.000000, 199
25800.000000, 199
25900.000000, 199
26000.000000, 199
