# Average Neighbourhood Size
# simtime, linkAvgNeighbourSize
15900.000000, 10.365529
16000.000000, 10.316285
16100.000000, 10.267505
16200.000000, 10.219217
16300.000000, 10.171689
16400.000000, 10.124929
16500.000000, 10.078294
16600.000000, 10.032197
16700.000000, 9.987130
16800.000000, 9.941707
16900.000000, 9.896506
17000.000000, 9.852564
17100.000000, 9.808385
17200.000000, 9.763809
17300.000000, 9.718813
17400.000000, 9.673929
17500.000000, 9.629961
17600.000000, 9.586907
17700.000000, 9.544348
17800.000000, 9.502198
17900.000000, 9.460248
18000.000000, 9.418773
18100.000000, 9.377541
18200.000000, 9.336757
18300.000000, 9.296353
18400.000000, 9.256423
18500.000000, 9.216561
18600.000000, 9.177099
18700.000000, 9.138478
18800.000000, 9.100484
18900.000000, 9.063129
19000.000000, 9.026085
19100.000000, 8.989221
19200.000000, 8.952573
19300.000000, 8.916145
19400.000000, 8.879949
19500.000000, 8.843926
19600.000000, 8.807960
19700.000000, 8.771800
19800.000000, 8.736178
19900.000000, 8.700615
20000.000000, 8.665497
20100.000000, 8.630876
20200.000000, 8.596830
20300.000000, 8.563781
20400.000000, 8.531439
20500.000000, 8.498941
20600.000000, 8.466513
20700.000000, 8.434220
20800.000000, 8.402359
20900.000000, 8.370153
21000.000000, 8.338346
21100.000000, 8.307144
21200.000000, 8.276499
21300.000000, 8.246276
21400.000000, 8.216533
21500.000000, 8.187281
21600.000000, 8.158133
21700.000000, 8.129134
21800.000000, 8.100150
21900.000000, 8.072136
22000.000000, 8.044566
22100.000000, 8.017517
22200.000000, 7.990962
22300.000000, 7.964457
22400.000000, 7.938183
22500.000000, 7.912143
22600.000000, 7.886432
22700.000000, 7.861266
22800.000000, 7.835921
22900.000000, 7.810308
23000.000000, 7.784984
23100.000000, 7.759694
23200.000000, 7.734823
23300.000000, 7.709877
23400.000000, 7.685030
23500.000000, 7.660629
23600.000000, 7.636216
23700.000000, 7.611792
23800.000000, 7.587568
23900.000000, 7.563141
24000.000000, 7.538513
24100.000000, 7.514071
24200.000000, 7.489449
24300.000000, 7.464900
