# Average Contact Duration
# simtime, linkAvgContactDuration
49900.000000, 54.532815
50000.000000, 54.960983
50100.000000, 55.002930
50200.000000, 55.055448
50300.000000, 55.036389
50400.000000, 55.066710
50500.000000, 55.197558
50600.000000, 55.654957
50700.000000, 55.686152
50800.000000, 55.687155
50900.000000, 55.641750
51000.000000, 55.614405
51100.000000, 55.638067
51200.000000, 55.645396
51300.000000, 55.643190
51400.000000, 55.650005
51500.000000, 55.648781
51600.000000, 55.634512
51700.000000, 55.742594
51800.000000, 56.239756
51900.000000, 56.179312
52000.000000, 56.137257
52100.000000, 56.121283
52200.000000, 56.146211
52300.000000, 56.078793
52400.000000, 56.083752
52500.000000, 56.055130
52600.000000, 56.061741
52700.000000, 56.032138
52800.000000, 56.033186
52900.000000, 55.999541
53000.000000, 55.971418
53100.000000, 55.953219
53200.000000, 56.152146
53300.000000, 56.114654
53400.000000, 56.389284
53500.000000, 56.482445
53600.000000, 56.423363
53700.000000, 56.892752
53800.000000, 56.870667
53900.000000, 56.848199
54000.000000, 56.764382
54100.000000, 56.758995
54200.000000, 56.754009
54300.000000, 57.127055
54400.000000, 57.038743
54500.000000, 57.057012
54600.000000, 56.956210
54700.000000, 56.859555
54800.000000, 56.943072
54900.000000, 56.864463
55000.000000, 56.783912
55100.000000, 56.779728
55200.000000, 56.700663
55300.000000, 56.591357
55400.000000, 56.582681
55500.000000, 56.499402
55600.000000, 56.478604
55700.000000, 56.406708
55800.000000, 56.395303
55900.000000, 56.425214
56000.000000, 56.460435
56100.000000, 56.374702
56200.000000, 56.316589
56300.000000, 56.343728
56400.000000, 56.361335
56500.000000, 56.834634
56600.000000, 56.909999
56700.000000, 56.831839
56800.000000, 56.895738
56900.000000, 56.787407
57000.000000, 56.724370
57100.000000, 56.630674
57200.000000, 56.604673
57300.000000, 56.577060
57400.000000, 56.566791
57500.000000, 56.531894
57600.000000, 56.440191
57700.000000, 56.404776
57800.000000, 56.303762
57900.000000, 56.242396
58000.000000, 56.172106
58100.000000, 56.146042
58200.000000, 56.058061
58300.000000, 56.039388
58400.000000, 56.014788
58500.000000, 56.010751
58600.000000, 55.950267
58700.000000, 55.973438
58800.000000, 55.895516
58900.000000, 55.850055
59000.000000, 55.773591
59100.000000, 55.684239
59200.000000, 55.607289
59300.000000, 55.498417
59400.000000, 55.565551
59500.000000, 55.462188
59600.000000, 55.353826
59700.000000, 55.280620
59800.000000, 55.627688
59900.000000, 55.520308
60000.000000, 55.539765
60100.000000, 55.453022
60200.000000, 55.421193
60300.000000, 55.326442
60400.000000, 55.273952
60500.000000, 55.181665
60600.000000, 55.079051
60700.000000, 54.987303
60800.000000, 54.900140
60900.000000, 54.785069
61000.000000, 54.775027
61100.000000, 54.789184
61200.000000, 54.720463
61300.000000, 54.617395
61400.000000, 54.524359
61500.000000, 54.419022
61600.000000, 54.325492
61700.000000, 54.242652
61800.000000, 54.135187
61900.000000, 54.025617
62000.000000, 54.026482
62100.000000, 53.931690
62200.000000, 53.834589
62300.000000, 53.753622
62400.000000, 53.691159
62500.000000, 53.599879
62600.000000, 53.495467
62700.000000, 53.412266
62800.000000, 53.330247
62900.000000, 53.223357
63000.000000, 53.121161
63100.000000, 53.039761
63200.000000, 52.935693
