# Total Contact Count
# simtime, linkContactCount
13300.000000, 242
13400.000000, 247
13500.000000, 250
13600.000000, 253
13700.000000, 256
13800.000000, 262
13900.000000, 264
14000.000000, 269
14100.000000, 272
14200.000000, 272
14300.000000, 272
14400.000000, 275
14500.000000, 280
14600.000000, 283
14700.000000, 289
14800.000000, 291
14900.000000, 298
15000.000000, 302
15100.000000, 309
15200.000000, 313
15300.000000, 316
15400.000000, 316
15500.000000, 316
15600.000000, 319
15700.000000, 322
15800.000000, 327
15900.000000, 330
16000.000000, 333
16100.000000, 335
16200.000000, 338
16300.000000, 339
16400.000000, 344
16500.000000, 348
16600.000000, 353
16700.000000, 355
16800.000000, 357
16900.000000, 360
17000.000000, 364
17100.000000, 365
17200.000000, 371
17300.000000, 373
17400.000000, 374
17500.000000, 377
17600.000000, 378
17700.000000, 378
17800.000000, 380
17900.000000, 382
18000.000000, 385
18100.000000, 389
18200.000000, 390
18300.000000, 393
18400.000000, 394
18500.000000, 396
18600.000000, 398
18700.000000, 400
18800.000000, 401
18900.000000, 402
19000.000000, 403
19100.000000, 405
19200.000000, 406
19300.000000, 412
19400.000000, 417
19500.000000, 417
19600.000000, 419
19700.000000, 419
19800.000000, 421
19900.000000, 422
20000.000000, 423
20100.000000, 424
20200.000000, 425
20300.000000, 425
20400.000000, 428
20500.000000, 430
20600.000000, 433
20700.000000, 434
20800.000000, 434
20900.000000, 435
21000.000000, 436
21100.000000, 440
21200.000000, 440
21300.000000, 441
21400.000000, 443
21500.000000, 445
21600.000000, 449
21700.000000, 452
21800.000000, 452
21900.000000, 453
22000.000000, 456
22100.000000, 459
22200.000000, 460
22300.000000, 463
22400.000000, 463
22500.000000, 467
22600.000000, 470
22700.000000, 472
22800.000000, 473
22900.000000, 475
23000.000000, 476
23100.000000, 478
23200.000000, 479
23300.000000, 481
23400.000000, 484
23500.000000, 486
23600.000000, 488
23700.000000, 489
23800.000000, 494
23900.000000, 495
24000.000000, 496
24100.000000, 500
24200.000000, 501
24300.000000, 502
24400.000000, 505
24500.000000, 507
24600.000000, 508
24700.000000, 512
24800.000000, 514
24900.000000, 515
25000.000000, 521
25100.000000, 525
25200.000000, 525
25300.000000, 526
25400.000000, 527
25500.000000, 529
25600.000000, 532
25700.000000, 536
25800.000000, 536
25900.000000, 537
26000.000000, 538
