# Total Contact Count
# simtime, linkContactCount
83800.000000, 198045
83900.000000, 198282
84000.000000, 198518
84100.000000, 198791
84200.000000, 199054
84300.000000, 199335
84400.000000, 199545
84500.000000, 199769
84600.000000, 199985
84700.000000, 200239
84800.000000, 200490
84900.000000, 200724
85000.000000, 200981
85100.000000, 201212
85200.000000, 201383
85300.000000, 201587
85400.000000, 201779
85500.000000, 202003
85600.000000, 202200
85700.000000, 202417
85800.000000, 202593
85900.000000, 202791
86000.000000, 203025
86100.000000, 203188
86200.000000, 203348
86300.000000, 203520
86400.000000, 203699
86500.000000, 203908
86600.000000, 204094
86700.000000, 204242
86800.000000, 204415
86900.000000, 204588
87000.000000, 204754
87100.000000, 204899
87200.000000, 205051
87300.000000, 205169
87400.000000, 205274
87500.000000, 205402
87600.000000, 205529
87700.000000, 205649
87800.000000, 205796
87900.000000, 205950
88000.000000, 206096
88100.000000, 206214
88200.000000, 206356
88300.000000, 206471
88400.000000, 206591
88500.000000, 206712
88600.000000, 206823
88700.000000, 206940
88800.000000, 207042
88900.000000, 207141
89000.000000, 207215
89100.000000, 207324
89200.000000, 207419
89300.000000, 207515
89400.000000, 207598
89500.000000, 207664
89600.000000, 207722
89700.000000, 207786
89800.000000, 207869
89900.000000, 207946
90000.000000, 207995
90100.000000, 208064
90200.000000, 208118
90300.000000, 208174
90400.000000, 208243
90500.000000, 208326
90600.000000, 208420
90700.000000, 208485
90800.000000, 208572
90900.000000, 208648
91000.000000, 208710
91100.000000, 208848
91200.000000, 208932
91300.000000, 209011
91400.000000, 209100
91500.000000, 209202
91600.000000, 209298
91700.000000, 209383
91800.000000, 209472
91900.000000, 209550
92000.000000, 209625
92100.000000, 209691
92200.000000, 209787
92300.000000, 209874
92400.000000, 209971
92500.000000, 210077
92600.000000, 210199
92700.000000, 210325
92800.000000, 210449
92900.000000, 210565
93000.000000, 210664
93100.000000, 210740
93200.000000, 210799
93300.000000, 210898
93400.000000, 210995
93500.000000, 211095
93600.000000, 211221
93700.000000, 211340
93800.000000, 211405
93900.000000, 211483
94000.000000, 211594
94100.000000, 211727
94200.000000, 211824
94300.000000, 211951
94400.000000, 212053
94500.000000, 212173
94600.000000, 212282
94700.000000, 212371
94800.000000, 212476
94900.000000, 212580
95000.000000, 212632
95100.000000, 212705
95200.000000, 212775
95300.000000, 212854
95400.000000, 212930
95500.000000, 212999
95600.000000, 213122
95700.000000, 213217
95800.000000, 213285
95900.000000, 213381
96000.000000, 213477
96100.000000, 213593
96200.000000, 213682
96300.000000, 213782
96400.000000, 213881
96500.000000, 214007
96600.000000, 214154
96700.000000, 214264
96800.000000, 214378
96900.000000, 214474
97000.000000, 214587
97100.000000, 214688
97200.000000, 214810
97300.000000, 214908
97400.000000, 215033
97500.000000, 215157
97600.000000, 215297
97700.000000, 215451
97800.000000, 215552
97900.000000, 215656
98000.000000, 215807
98100.000000, 215942
98200.000000, 216117
98300.000000, 216278
98400.000000, 216424
98500.000000, 216563
98600.000000, 216712
98700.000000, 216848
98800.000000, 216971
98900.000000, 217102
99000.000000, 217234
99100.000000, 217410
99200.000000, 217549
99300.000000, 217708
99400.000000, 217833
99500.000000, 217977
99600.000000, 218136
99700.000000, 218326
99800.000000, 218496
99900.000000, 218673
100000.000000, 218831
100100.000000, 219037
100200.000000, 219225
100300.000000, 219436
100400.000000, 219590
100500.000000, 219827
100600.000000, 220042
100700.000000, 220274
100800.000000, 220510
100900.000000, 220742
101000.000000, 220963
101100.000000, 221201
101200.000000, 221436
101300.000000, 221660
101400.000000, 221860
101500.000000, 222078
101600.000000, 222274
101700.000000, 222496
101800.000000, 222705
101900.000000, 222921
102000.000000, 223166
102100.000000, 223416
102200.000000, 223638
102300.000000, 223870
102400.000000, 224189
102500.000000, 224429
102600.000000, 224705
102700.000000, 225027
102800.000000, 225326
102900.000000, 225557
103000.000000, 225875
103100.000000, 226171
103200.000000, 226420
103300.000000, 226696
103400.000000, 227032
103500.000000, 227326
103600.000000, 227663
103700.000000, 227968
103800.000000, 228233
103900.000000, 228524
104000.000000, 228791
104100.000000, 229076
104200.000000, 229368
104300.000000, 229665
104400.000000, 229951
104500.000000, 230284
104600.000000, 230555
104700.000000, 230893
104800.000000, 231226
104900.000000, 231544
105000.000000, 231821
105100.000000, 232111
105200.000000, 232388
105300.000000, 232625
105400.000000, 232887
105500.000000, 233137
105600.000000, 233385
105700.000000, 233604
105800.000000, 233826
105900.000000, 234080
106000.000000, 234280
106100.000000, 234494
106200.000000, 234721
106300.000000, 234933
106400.000000, 235156
106500.000000, 235365
106600.000000, 235589
106700.000000, 235814
106800.000000, 236041
106900.000000, 236285
107000.000000, 236474
107100.000000, 236663
107200.000000, 236882
107300.000000, 237093
107400.000000, 237304
107500.000000, 237526
107600.000000, 237772
107700.000000, 238019
107800.000000, 238258
107900.000000, 238477
108000.000000, 238747
108100.000000, 239011
108200.000000, 239198
108300.000000, 239432
108400.000000, 239622
108500.000000, 239827
108600.000000, 240044
108700.000000, 240250
108800.000000, 240497
108900.000000, 240719
109000.000000, 240961
109100.000000, 241166
109200.000000, 241366
109300.000000, 241549
109400.000000, 241694
109500.000000, 241872
109600.000000, 242033
109700.000000, 242234
109800.000000, 242420
109900.000000, 242584
110000.000000, 242770
110100.000000, 242954
110200.000000, 243165
110300.000000, 243331
110400.000000, 243533
110500.000000, 243732
110600.000000, 243896
110700.000000, 244112
110800.000000, 244296
110900.000000, 244512
111000.000000, 244721
111100.000000, 244942
111200.000000, 245164
111300.000000, 245347
111400.000000, 245560
111500.000000, 245780
111600.000000, 245977
111700.000000, 246148
111800.000000, 246311
111900.000000, 246461
112000.000000, 246642
112100.000000, 246819
112200.000000, 247016
112300.000000, 247238
112400.000000, 247439
112500.000000, 247655
112600.000000, 247851
112700.000000, 248044
112800.000000, 248248
112900.000000, 248447
113000.000000, 248661
113100.000000, 248878
113200.000000, 249075
113300.000000, 249281
113400.000000, 249499
113500.000000, 249690
113600.000000, 249863
113700.000000, 250069
