# Total Contact Count
# simtime, linkContactCount
13300.000000, 66
13400.000000, 66
13500.000000, 66
13600.000000, 66
13700.000000, 66
13800.000000, 66
13900.000000, 67
14000.000000, 67
14100.000000, 67
14200.000000, 67
14300.000000, 67
14400.000000, 67
14500.000000, 67
14600.000000, 67
14700.000000, 67
14800.000000, 67
14900.000000, 67
15000.000000, 67
15100.000000, 67
15200.000000, 68
15300.000000, 70
15400.000000, 71
15500.000000, 71
15600.000000, 71
15700.000000, 71
15800.000000, 71
15900.000000, 71
16000.000000, 72
16100.000000, 73
16200.000000, 74
16300.000000, 74
16400.000000, 75
16500.000000, 77
16600.000000, 77
16700.000000, 77
16800.000000, 77
16900.000000, 78
17000.000000, 79
17100.000000, 80
17200.000000, 80
17300.000000, 80
17400.000000, 80
17500.000000, 81
17600.000000, 81
17700.000000, 81
17800.000000, 81
17900.000000, 81
18000.000000, 81
18100.000000, 81
18200.000000, 82
18300.000000, 83
18400.000000, 83
18500.000000, 83
18600.000000, 86
18700.000000, 86
18800.000000, 87
18900.000000, 87
19000.000000, 87
19100.000000, 87
19200.000000, 87
19300.000000, 87
19400.000000, 87
19500.000000, 87
19600.000000, 88
19700.000000, 88
19800.000000, 88
19900.000000, 88
20000.000000, 88
20100.000000, 89
20200.000000, 89
20300.000000, 89
20400.000000, 89
20500.000000, 89
20600.000000, 89
20700.000000, 89
20800.000000, 90
20900.000000, 91
21000.000000, 91
21100.000000, 91
21200.000000, 91
21300.000000, 91
21400.000000, 91
21500.000000, 92
21600.000000, 92
21700.000000, 92
21800.000000, 92
21900.000000, 93
22000.000000, 94
22100.000000, 94
22200.000000, 94
22300.000000, 94
22400.000000, 95
22500.000000, 95
22600.000000, 95
22700.000000, 96
22800.000000, 97
22900.000000, 97
23000.000000, 98
23100.000000, 98
23200.000000, 98
23300.000000, 98
23400.000000, 98
23500.000000, 98
23600.000000, 98
23700.000000, 98
23800.000000, 99
23900.000000, 99
24000.000000, 99
24100.000000, 99
24200.000000, 99
24300.000000, 100
24400.000000, 101
24500.000000, 102
24600.000000, 102
24700.000000, 103
24800.000000, 105
24900.000000, 107
25000.000000, 107
25100.000000, 107
25200.000000, 108
25300.000000, 108
25400.000000, 110
25500.000000, 110
25600.000000, 110
25700.000000, 110
25800.000000, 110
25900.000000, 111
26000.000000, 111
