# Average Neighbourhood Size
# simtime, linkAvgNeighbourSize
12000.000000, 1.646051
12100.000000, 1.636279
12200.000000, 1.626955
12300.000000, 1.617793
12400.000000, 1.608887
12500.000000, 1.600039
12600.000000, 1.591308
12700.000000, 1.582715
12800.000000, 1.574181
12900.000000, 1.565719
13000.000000, 1.557702
13100.000000, 1.549873
13200.000000, 1.542632
13300.000000, 1.535532
13400.000000, 1.528657
13500.000000, 1.521997
13600.000000, 1.515419
13700.000000, 1.508744
13800.000000, 1.501664
13900.000000, 1.494313
14000.000000, 1.487044
14100.000000, 1.479912
14200.000000, 1.472881
14300.000000, 1.466241
14400.000000, 1.460174
14500.000000, 1.454190
14600.000000, 1.448289
14700.000000, 1.442492
14800.000000, 1.436878
14900.000000, 1.431317
15000.000000, 1.425602
15100.000000, 1.419963
15200.000000, 1.414399
15300.000000, 1.408926
15400.000000, 1.403274
15500.000000, 1.397521
15600.000000, 1.391828
15700.000000, 1.386148
15800.000000, 1.380539
15900.000000, 1.375047
16000.000000, 1.369697
16100.000000, 1.364309
16200.000000, 1.358987
16300.000000, 1.353717
16400.000000, 1.348513
16500.000000, 1.343522
16600.000000, 1.338700
16700.000000, 1.334042
16800.000000, 1.329408
16900.000000, 1.324746
17000.000000, 1.320004
17100.000000, 1.314946
17200.000000, 1.310047
17300.000000, 1.305258
17400.000000, 1.300524
17500.000000, 1.295844
17600.000000, 1.291167
17700.000000, 1.286488
17800.000000, 1.281870
17900.000000, 1.277295
18000.000000, 1.272745
18100.000000, 1.268169
18200.000000, 1.263594
18300.000000, 1.259017
18400.000000, 1.254500
18500.000000, 1.250121
18600.000000, 1.245852
18700.000000, 1.241666
18800.000000, 1.237430
18900.000000, 1.233235
19000.000000, 1.228996
19100.000000, 1.224879
19200.000000, 1.220748
19300.000000, 1.216630
19400.000000, 1.212643
19500.000000, 1.208704
19600.000000, 1.204832
19700.000000, 1.201066
19800.000000, 1.197359
19900.000000, 1.193668
20000.000000, 1.189948
20100.000000, 1.186247
20200.000000, 1.182589
20300.000000, 1.179044
20400.000000, 1.175535
20500.000000, 1.172059
20600.000000, 1.168611
20700.000000, 1.165318
20800.000000, 1.162021
20900.000000, 1.158589
21000.000000, 1.155277
21100.000000, 1.152017
21200.000000, 1.148854
21300.000000, 1.145721
21400.000000, 1.142618
21500.000000, 1.139543
21600.000000, 1.136497
21700.000000, 1.133500
21800.000000, 1.130594
21900.000000, 1.127598
22000.000000, 1.124693
22100.000000, 1.121866
22200.000000, 1.119065
22300.000000, 1.116290
